"ID","calle_colonia","delegacion","cp","tipo","precio","moneda","lat","lon","AREA_CONSTRUIDA","RECAMARAS","BANOS","No_de_pisos","Edad_inmueble","Jardin","Cisterna","Seguridad privada","Zona privada","Alberca","Lavandería","Terraza","Gimnasio","Cuarto de servicio","Chimenea","Sótano","Aire acondicionado","Elevador","Urbanizado"
28651824,"José Maria Castorena","Cuajimalpa de Morelos",5240,"Casa","13,800,000 ","MXN",19.3640219,-99.2851887,270,4,3,1,24,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
26098929,"LA QUEMADA  #361","Benito Juárez",3023,"Casa","9,470,000 ","MXN",19.3711152,-99.1393556,235,6,4,2,40,"0","1","0","0","0","0","1","0","1","0","0","0","0","0"
28534989,"Ladera","Coyoacán",4500,"Casa","38,000,000 ","MXN",19.3062052,-99.2017414,560,5,4,1,1,"1","0","1","0","0","0","1","0","1","0","0","0","0","0"
28625645," ","Gustavo A. Madero",7300,"Casa","15,789,000 ","MXN",19.4902084,-99.124236,519,12,8,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28631858,"Lomas Altas","Miguel Hidalgo",11950,"Casa","53,000,000 ","MXN",19.4005953,-99.2279876,448,4,3,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28722938,"MIGUEL LERDO DE TEJADA #268","Álvaro Obregón",1020,"Casa","22,500,000 ","MXN",19.353556,-99.18615,750,7,4,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
26203996,"Miguel Ocaranza #133","Álvaro Obregón",1600,"Casa","11,000,000 ","MXN",19.3663017,-99.1933664,243,2,1,2,50,"0","0","0","1","0","1","1","0","0","0","0","0","0","0"
28662554,"Montaña 400","Coyoacán",4500,"Casa","20,500,000 ","MXN",19.3079512,-99.1968277,955,3,5,1,41,"0","0","0","0","1","0","1","0","0","0","0","0","0","0"
27427313,"Naranjos 16 #16","La Magdalena Contreras",10400,"Casa","8,250,000 ","MXN",19.3187812,-99.2282531,400,4,3,2,45,"0","1","0","1","0","0","0","0","0","1","0","0","0","0"
28782484," ","Benito Juárez",3020,"Casa","6,200,000 ","MXN",19.3952624505,-99.1404222327,134,3,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28762827," ","Álvaro Obregón",1780,"Casa","6,600,000 ","MXN",19.3409349,-99.205763,203,3,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28661580,"Oriente 100","Venustiano Carranza",15810,"Casa","9,800,000 ","MXN",19.4309551,-99.1335827,320,7,3,1,50,"0","0","0","0","0","1","0","0","0","0","0","0","0","0"
28792022,"ORIZABA","La Magdalena Contreras",10400,"Casa","7,980,000 ","MXN",19.3177967,-99.2281333,270,3,3,1,1,"1","0","0","0","0","0","1","0","1","0","0","0","0","0"
28792023,"ORIZABA","La Magdalena Contreras",10400,"Casa","7,980,000 ","MXN",19.3177967,-99.2281333,270,3,3,1,1,"1","0","0","0","0","0","1","0","1","0","0","0","0","0"
28661942,"Paseo de la Reforma 1300","Miguel Hidalgo",11000,"Casa"," 3,500,000 ","USD",19.4071207,-99.2162139,1193,4,5,1,64,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
27586526,"Paseo del Rocio Lomas de Vista Hermosa","Cuajimalpa de Morelos",5100,"Casa","10,500,000 ","MXN",19.3763601,-99.2684457,319,4,4,3,50,"0","0","1","1","0","0","0","0","0","0","0","0","0","0"
23701112,"PEDREGAL DE SAN FRANCISCO","Coyoacán",4320,"Casa","12,850,000 ","MXN",19.3388046,-99.1691413,306,1,3,1,33,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
23965760,"PEDREGAL DE SAN FRANCISCO","Coyoacán",4320,"Casa","29,900,000 ","MXN",19.3388046,-99.1691413,564,4,3,2,40,"0","1","0","1","0","0","0","0","0","1","0","0","0","0"
27785722,"PEDREGAL DE SAN FRANCISCO","Coyoacán",4320,"Casa","23,900,000 ","MXN",19.3395689210825,-99.1708364560974,430,3,3,1,50,"1","1","0","1","0","0","1","0","0","1","0","0","0","0"
27964353,"PEDREGAL DE SAN FRANCISCO","Coyoacán",4320,"Casa","22,750,000 ","MXN",19.3390475633811,-99.1669955327881,380,3,3,2,28,"0","1","0","1","0","0","1","0","0","0","0","0","0","0"
28232821,"PEDREGAL DE SAN FRANCISCO","Coyoacán",4320,"Casa","19,900,000 ","MXN",19.3396397851077,-99.1706326082123,414,3,4,2,24,"1","1","0","1","0","0","0","1","0","1","0","0","0","0"
27926439,"Pino","Álvaro Obregón",1030,"Casa","24,900,000 ","MXN",19.3629905570719,-99.1765025227234,326,3,3,2,13,"1","1","0","0","0","0","0","0","0","1","0","0","0","0"
28567032,"Plaza rio san carlos","Iztapalapa",9030,"Casa","11,000,000 ","MXN",19.3872562,-99.0889919,300,6,4,1,1,"1","0","0","0","0","0","1","0","1","0","0","0","0","0"
28651106,"Primer Retorno de Sierra Itambe","Miguel Hidalgo",11700,"Casa"," 2,600,000 ","USD",19.3914119,-99.265523,1200,3,4,1,20,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
28651107,"Primer Retorno de Sierra Itambe","Miguel Hidalgo",11920,"Casa"," 2,600,000 ","USD",19.3963452,-99.2397156,1200,3,4,1,20,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
28722015,"Prolongacion geranio","Tláhuac",13099,"Casa","3,900,000 ","MXN",19.265692,-99.00205,202,5,1,1,30,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
21872833,"Renovación","Iztapalapa",9209,"Casa","2,100,000 ","MXN",19.371356919,-99.048678875,250,6,3,1,31,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28545932,"Residencial Emperadores","Benito Juárez",3320,"Casa","18,000,000 ","MXN",19.3703949,-99.1546152,530,10,6,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28662434,"Retorno 100 del Tepozteco 43","Tlalpan",14608,"Casa","19,900,000 ","MXN",19.2780601,-99.146999,480,4,4,1,5,"0","0","0","0","0","1","1","1","0","1","0","0","0","0"
28661455,"Salvatierra ","Miguel Hidalgo",11850,"Casa","13,500,000 ","MXN",19.4204517,-99.185752,270,3,2,1,40,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
28566972,"San Angel","Álvaro Obregón",1000,"Casa","49,000,000 ","MXN",19.3454236,-99.1936871,750,4,4,1,9,"1","0","1","0","0","0","1","0","1","0","0","0","0","0"
28691776,"San Borja","Benito Juárez",3600,"Casa","8,000,000 ","MXN",19.382014,-99.1545103,268,4,3,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
27905272,"san francisco  #34","La Magdalena Contreras",10200,"Casa","7,999,980 ","MXN",19.326137,-99.226107,224,3,3,2,9,"0","1","0","1","0","0","0","1","0","0","0","0","0","0"
28108662,"San Juan de Dios","Tlalpan",14050,"Casa","16,500,000 ","MXN",19.2957614830512,-99.1574508429916,381,4,3,3,30,"1","1","0","0","0","1","0","0","1","1","0","0","0","0"
27914288," ","Iztapalapa",9630,"Casa","2,500,000 ","MXN",19.3476891,-98.9939219,241,5,2,2,35,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
25032574,"Santiago Rebull","Benito Juárez",3910,"Casa","6,950,000 ","MXN",19.3718577,-99.1904438,146,2,2,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
26093789,"Sierra Ixtlán","Miguel Hidalgo",11000,"Casa","33,000,000 ","MXN",19.4091242968396,-99.2257840217651,509,7,4,3,40,"0","1","0","0","0","0","0","0","0","0","0","0","0","0"
