ID,calle_colo,delegacion,cp,tipo,precio,moneda,lat,lon,AREA_CONST,RECAMARAS,BANOS,No_de_piso,Edad_inmue,Jardin,Cisterna,Seguridad,Zona priva,Alberca,Lavanderí,Terraza,Gimnasio,Cuarto de,Chimenea,Sótano,Aire acond,Elevador,Urbanizado,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,TIPOMZA,CVE_MZA1,CPV_VIVTOT,CPV_VPH_C_,CPV_VPH_AE,CPV_VPH_DR,CPV_VPH__1,CPV_Prop_e,CPV_Prop_a,CPV_Prop_d,CPV_Prop_s
23701112,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,"12,850,000",MXN,19.338804600000000,-99.1691413,306,1,3,1,33,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,003,0001,0431,016,Típica,00300010431016,17.000000000000000,15,15,15,15,88.235294117647101,88.235294117647101,88.235294117647101,88.235294117647101
23965760,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,"29,900,000",MXN,19.338804600000000,-99.1691413,564,4,3,2,40,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,003,0001,0431,016,Típica,00300010431016,17.000000000000000,15,15,15,15,88.235294117647101,88.235294117647101,88.235294117647101,88.235294117647101
27926439,Pino,Álvaro Obregón,1030,Casa,"24,900,000",MXN,19.362990557071896,-99.17650252,326,3,3,2,13,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1006,018,Típica,01000011006018,22.000000000000000,19,19,19,19,86.363636363636402,86.363636363636402,86.363636363636402,86.363636363636402
28567032,Plaza rio san carlos,Iztapalapa,9030,Casa,"11,000,000",MXN,19.387256199999999,-99.0889919,300,6,4,1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,007,0001,0093,011,Típica,00700010093011,116.000000000000000,107,107,107,107,92.241379310344797,92.241379310344797,92.241379310344797,92.241379310344797
28651106,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11700,Casa,"2,600,000",USD,19.391411900000001,-99.265523,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,004,0001,0176,016,Contenedora,00400010176016,487.000000000000000,473,464,467,466,97.125256673511302,95.277207392197099,95.893223819301795,95.687885010266896
28651107,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11920,Casa,"2,600,000",USD,19.396345199999999,-99.2397156,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1300,014,Típica,01600011300014,90.000000000000000,68,68,68,68,75.555555555555600,75.555555555555600,75.555555555555600,75.555555555555600
21872833,Renovación,Iztapalapa,9209,Casa,"2,100,000",MXN,19.371356919000000,-99.04867887,250,6,3,1,31,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,007,0001,465A,013,Típica,0070001465A013,36.000000000000000,36,36,36,36,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
28545932,Residencial Emperadores,Benito Juárez,3320,Casa,"18,000,000",MXN,19.370394900000001,-99.1546152,530,10,6,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0774,025,Típica,01400010774025,99.000000000000000,84,84,84,84,84.848484848484802,84.848484848484802,84.848484848484802,84.848484848484802
28662434,Retorno 100 del Tepozteco 43,Tlalpan,14608,Casa,"19,900,000",MXN,19.278060100000001,-99.146999,480,4,4,1,5,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,012,0001,2121,021,Contenedora,01200012121021,1175.000000000000000,1081,815,1081,1079,92.000000000000000,69.361702127659598,92.000000000000000,91.829787234042499
28566972,San Angel,Álvaro Obregón,1000,Casa,"49,000,000",MXN,19.345423600000000,-99.1936871,750,4,4,1,9,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1129,003,Típica,01000011129003,33.000000000000000,26,26,26,26,78.787878787878796,78.787878787878796,78.787878787878796,78.787878787878796
27905272,san francisco  #34,La Magdalena Contreras,10200,Casa,"7,999,980",MXN,19.326136999999999,-99.226107,224,3,3,2,9,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,008,0001,0122,008,Típica,00800010122008,34.000000000000000,34,34,34,34,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
25032574,Santiago Rebull,Benito Juárez,3910,Casa,"6,950,000",MXN,19.371857700000000,-99.1904438,146,2,2,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0685,016,Típica,01400010685016,37.000000000000000,34,34,34,34,91.891891891891902,91.891891891891902,91.891891891891902,91.891891891891902
26093789,Sierra Ixtlán,Miguel Hidalgo,11000,Casa,"33,000,000",MXN,19.409124296839565,-99.22578402,509,7,4,3,40,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1052,028,Típica,01600011052028,18.000000000000000,16,16,16,16,88.888888888888900,88.888888888888900,88.888888888888900,88.888888888888900
28062807,Sierra Ventana,Miguel Hidalgo,11000,Casa,"60,000,000",MXN,19.425935500000001,-99.2211701,1052,3,3,1,35,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,0868,001,Típica,01600010868001,16.000000000000000,14,14,14,14,87.500000000000000,87.500000000000000,87.500000000000000,87.500000000000000
28232776,TOWN HOUSE CON ROOF PRIVADO EN CONDOMINIO DE 4 VECINOS,Cuauhtémoc,6760,Casa,"11,305,350",MXN,19.405298999999999,-99.1649891,143,3,2,3,1,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,015,0001,145A,008,Típica,0150001145A008,22.000000000000000,20,20,20,20,90.909090909090907,90.909090909090907,90.909090909090907,90.909090909090907
28610397,_,Benito Juárez,3104,Departamento,"7,000,000",MXN,19.367940300000001,-99.169486,103,2,2,1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,014,0001,0810,005,Típica,01400010810005,309.000000000000000,290,290,290,290,93.851132686084100,93.851132686084100,93.851132686084100,93.851132686084100
28684820,Adolfo López Mateos #1753,Álvaro Obregón,1600,Departamento,"4,750,000",MXN,19.366149873296916,-99.19158541,71,2,2,1,1,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,010,0001,0845,015,Típica,01000010845015,24.000000000000000,20,20,20,20,83.333333333333300,83.333333333333300,83.333333333333300,83.333333333333300
16052498,Amores,Benito Juárez,3103,Departamento,"4,950,000",MXN,19.396263999999999,-99.1636594,97,2,2,1,5,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0242,006,Típica,01400010242006,266.000000000000000,227,227,227,227,85.338345864661719,85.338345864661719,85.338345864661719,85.338345864661719
27923503,Anaxagoras,Benito Juárez,3020,Departamento,"6,725,000",MXN,19.388220000000000,-99.157526,109,2,2,1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,014,0001,0261,022,Típica,01400010261022,204.000000000000000,165,165,165,165,80.882352941176507,80.882352941176507,80.882352941176507,80.882352941176507
28830906,Anillo Periférico 4091 #4091,Tlalpan,14140,Departamento,"3,600,000",MXN,19.308368099999999,-99.218957,108,3,2,4,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,012,0001,2066,001,Contenedora,01200012066001,42.000000000000000,34,33,34,34,80.952380952380906,78.571428571428598,80.952380952380906,80.952380952380906
28720572,Av. Acueducto #757,Gustavo A. Madero,7369,Departamento,"4,664,847",MXN,19.501619999999999,-99.12123,96,3,2,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,005,0001,0756,011,Típica,00500010756011,198.000000000000000,63,62,63,63,31.818181818181799,31.313131313131301,31.818181818181799,31.818181818181799
28667132,Av. Acueducto de Guadalupe 600,Gustavo A. Madero,7010,Departamento,"2,240,000",MXN,19.497757700000001,-99.113797,74,2,1,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,005,0001,0987,009,Típica,00500010987009,84.000000000000000,80,80,80,80,95.238095238095198,95.238095238095198,95.238095238095198,95.238095238095198
28662125,Av. Amsterdam 200,Cuauhtémoc,6100,Departamento,"9,300,000",MXN,19.409368199999999,-99.1719095,140,2,2,1,44,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,015,0001,1341,016,Típica,01500011341016,113.000000000000000,83,83,83,83,73.451327433628293,73.451327433628293,73.451327433628293,73.451327433628293
28723693,AV. CHAPULTEPEC #139,Cuauhtémoc,6040,Departamento,"2,325,300",MXN,19.427070000000001,-99.15154,31,1,1,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,015,0001,0860,012,Típica,01500010860012,105.000000000000000,80,79,80,80,76.190476190476204,75.238095238095198,76.190476190476204,76.190476190476204
28661744,Av. Cuauhtémoc,Cuauhtémoc,6720,Departamento,"3,179,410",MXN,19.417923200000001,-99.1483827,44,1,1,1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,015,0001,113A,019,Contenedora,0150001113A019,251.000000000000000,234,234,234,234,93.227091633466102,93.227091633466102,93.227091633466102,93.227091633466102
