ID,calle_colo,delegacion,cp,tipo,precio,lat,lon,AREA_CONST,RECAMARAS,BANOS,No_de_piso,Edad_inmue,Jardin,Cisterna,Seguridad,Zona priva,Alberca,Lavanderí,Terraza,Gimnasio,Cuarto de,Chimenea,Sótano,Aire acond,Elevador,Urbanizado,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,TIPOMZA,CVE_MZA1,CPV_VIVTOT,CPV_VPH_C_,CPV_VPH_AE,CPV_VPH_DR,CPV_VPH__1,CPV_Prop_e,CPV_Prop_a,CPV_Prop_d,CPV_Prop_s,InputID,Distance,CVEGEO,CVE_ENT_2,CVE_MUN_2,CVE_LOC_2,CVE_AGEB_2,PESO_A,PESO_B,PESO_C,PESO_D,I_A
28546746,,Coyoacán,4815,Casa,4690000,19.3156865,-99.1073581,280,4,4,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,3,verdadero,"1406",25,Típica,"00300011406025",43,40,40,40,40,93.02325581,93.02325581,93.02325581,93.02325581,99999999,13846.99511,"0900300011406","09","003","0001","1406",0.200,0.300,0.400,0.000,0.900
28831015,Encino Grande 180 #180,Álvaro Obregón,1700,Casa,9600000,19.3396228,-99.2270986,301,3,5,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1858",30,Típica,"01000011858030",947,904,899,904,904,95.4593453,94.9313622,95.4593453,95.4593453,99999999,11609.62154,"0901000011858","09","010","0001","1858",0.200,0.300,0.000,0.100,0.600
28661936,Fuente de la Luz 100,Tlalpan,14140,Casa,24900000,19.3057082,-99.2266013,1150,5,4,1,20,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,12,verdadero,"0017",6,Típica,"01200010017006",23,21,21,21,21,91.30434783,91.30434783,91.30434783,91.30434783,99999999,14872.51312,"0901200010017","09","012","0001","0017",0.200,0.300,0.000,0.000,0.500
28659940,Granada 100,Xochimilco,16100,Casa,4300000,19.2553281,-99.1303962,291,4,2,1,25,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,13,verdadero,"0298",4,Típica,"01300010298004",311,282,276,283,282,90.67524116,88.74598071,90.99678457,90.67524116,99999999,19425.91885,"0901300010298","09","013","0001","0298",0.200,0.300,0.000,0.100,0.600
28778690,,Gustavo A. Madero,7800,Casa,5950000,19.4700849,-99.1297611,246,4,3,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,5,verdadero,"1580",22,Típica,"00500011580022",43,38,38,38,38,88.37209302,88.37209302,88.37209302,88.37209302,99999999,6107.844876,"0900500011580","09","005","0001","1580",0.200,0.300,0.400,0.100,1.000
28625645,,Gustavo A. Madero,7300,Casa,15789000,19.4902084,-99.124236,519,12,8,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,5,verdadero,"0968",3,Típica,"00500010968003",43,35,35,35,35,81.39534884,81.39534884,81.39534884,81.39534884,99999999,8254.727299,"0900500010968","09","005","0001","0968",0.200,0.300,0.400,0.000,0.900
28631858,Lomas Altas,Miguel Hidalgo,11950,Casa,53000000,19.4005953,-99.2279876,448,4,3,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,16,verdadero,"1283",5,Típica,"01600011283005",473,171,171,171,171,36.15221987,36.15221987,36.15221987,36.15221987,99999999,7094.748769,"0901600011283","09","016","0001","1283",0.200,0.300,0.400,0.000,0.900
28722938,MIGUEL LERDO DE TEJADA #268,Álvaro Obregón,1020,Casa,22500000,19.353556,-99.18615,750,7,4,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1059",23,Típica,"01000011059023",41,33,33,33,33,80.48780488,80.48780488,80.48780488,80.48780488,99999999,8428.754588,"0901000011059","09","010","0001","1059",0.200,0.300,0.400,0.100,1.000
28662554,Montaña 400,Coyoacán,4500,Casa,20500000,19.3079512,-99.1968277,955,3,5,1,41,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,3,verdadero,"1105",9,Típica,"00300011105009",4,4,4,4,4,100,100,100,100,99999999,13599.05759,"0900300011105","09","003","0001","1105",0.200,0.300,0.400,0.100,1.000
27427313,Naranjos 16 #16,La Magdalena Contreras,10400,Casa,8250000,19.3187812,-99.2282531,400,4,3,2,45,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,9,8,verdadero,018A,9,Típica,0080001018A009,19,18,18,18,18,94.73684211,94.73684211,94.73684211,94.73684211,99999999,13656.76201,090080001018A,"09","008","0001",018A,0.200,0.300,0.000,0.100,0.600
